Time [s], Pressure [PSI]
0.0, -19.33
0.01273, -19.33
0.02546, -19.33
0.038189999999999995, -19.33
0.05092, -19.33
0.06365, -19.33
0.07637999999999999, -19.33
0.08911, -19.33
0.10184, -19.55
0.11456999999999999, -19.55
0.1273, -19.55
0.14003, -19.55
0.15275999999999998, -19.55
0.16549, -19.55
0.17822, -19.55
0.19094999999999998, -19.55
0.20368, -19.55
0.21641, -19.55
0.22913999999999998, -19.55
0.24187, -19.77
0.2546, -19.55
0.26732999999999996, -19.77
0.28006, -19.77
0.29279, -19.55
0.30551999999999996, -19.77
0.31825, -19.77
0.33098, -19.77
0.34370999999999996, -19.77
0.35644, -19.77
0.36917, -19.77
0.38189999999999996, -19.77
0.39463, -19.77
0.40736, -19.77
0.42008999999999996, -19.77
0.43282, -19.77
0.44555, -19.77
0.45827999999999997, -19.77
0.47101, -19.77
0.48374, -19.77
0.49647, -19.77
0.5092, -19.77
0.52193, -19.77
0.5346599999999999, -19.77
0.5473899999999999, -19.77
0.56012, -19.77
0.57285, -19.77
0.58558, -19.77
0.5983099999999999, -19.77
0.6110399999999999, -19.77
0.6237699999999999, -19.77
0.6365, -19.77
0.64923, -19.77
0.66196, -19.98
0.67469, -19.98
0.6874199999999999, -19.77
0.7001499999999999, -19.77
0.71288, -19.98
0.72561, -19.98
0.73834, -19.77
0.75107, -19.77
0.7637999999999999, -19.77
0.7765299999999999, -19.77
0.78926, -19.98
0.80199, -19.77
0.81472, -19.77
0.82745, -19.98
0.8401799999999999, -19.77
0.85291, -19.77
0.86564, -19.98
0.87837, -19.77
0.8911, -19.77
0.90383, -19.77
0.9165599999999999, -19.98
0.92929, -19.77
0.94202, -19.77
0.95475, -19.98
0.96748, -19.98
0.98021, -19.77
0.99294, -19.77
1.00567, -19.77
1.0184, -19.98
1.03113, -19.77
1.04386, -19.77
1.05659, -19.77
1.0693199999999998, -19.77
1.08205, -19.77
1.0947799999999999, -19.77
1.10751, -19.77
1.12024, -19.77
1.13297, -19.77
1.1457, -19.77
1.15843, -19.77
1.17116, -19.77
1.18389, -19.77
1.1966199999999998, -19.77
1.20935, -19.77
1.2220799999999998, -19.77
1.23481, -19.77
1.2475399999999999, -19.98
1.26027, -19.98
1.273, -19.77
1.28573, -19.77
1.29846, -19.77
1.31119, -19.77
1.32392, -19.98
1.3366500000000001, -19.77
1.34938, -19.77
1.36211, -19.77
1.3748399999999998, -19.98
1.38757, -19.77
1.4002999999999999, -19.77
1.41303, -19.77
1.42576, -19.77
1.43849, -19.98
1.45122, -19.77
1.46395, -19.77
1.47668, -19.77
1.4894100000000001, -19.77
1.50214, -19.77
1.51487, -19.77
1.5275999999999998, -19.77
1.54033, -19.77
1.5530599999999999, -19.98
1.56579, -19.77
1.57852, -19.77
1.59125, -19.77
1.60398, -19.77
1.61671, -19.77
1.62944, -19.77
1.6421700000000001, -19.77
1.6549, -19.77
1.6676300000000002, -19.77
1.6803599999999999, -19.77
1.69309, -19.77
1.70582, -19.77
1.71855, -19.77
1.73128, -19.77
1.74401, -19.77
1.75674, -19.77
1.76947, -19.77
1.7822, -19.77
1.7949300000000001, -19.77
1.80766, -19.77
1.8203900000000002, -19.77
1.8331199999999999, -19.77
1.84585, -19.77
1.85858, -19.98
1.87131, -19.77
1.88404, -19.77
1.89677, -19.77
1.9095, -19.77
1.92223, -19.77
1.93496, -19.77
1.9476900000000001, -19.77
1.96042, -19.77
1.9731500000000002, -19.77
1.98588, -19.77
1.99861, -19.77
2.01134, -19.77
2.02407, -19.77
2.0368, -19.77
2.0495300000000003, -19.77
2.06226, -19.77
2.0749899999999997, -19.77
2.08772, -19.98
2.10045, -19.98
2.11318, -19.98
2.1259099999999997, -19.77
2.1386399999999997, -19.77
2.15137, -19.77
2.1641, -19.77
2.17683, -19.77
2.1895599999999997, -19.77
2.20229, -19.77
2.21502, -19.77
2.22775, -19.77
2.24048, -19.77
2.25321, -19.77
2.26594, -19.77
2.27867, -19.77
2.2914, -19.77
2.3041300000000002, -19.77
2.31686, -19.98
2.32959, -19.77
2.34232, -19.77
2.3550500000000003, -19.77
2.36778, -19.77
2.38051, -19.77
2.3932399999999996, -19.77
2.40597, -19.77
2.4187, -19.77
2.4314299999999998, -19.77
2.4441599999999997, -19.77
2.45689, -19.77
2.46962, -19.77
2.48235, -19.77
2.4950799999999997, -19.77
2.50781, -19.77
2.52054, -19.77
2.53327, -19.77
2.546, -19.77
2.55873, -19.77
2.57146, -19.77
2.58419, -19.77
2.59692, -19.77
2.6096500000000002, -19.77
2.62238, -19.77
2.63511, -19.77
2.64784, -19.77
2.6605700000000003, -19.77
2.6733000000000002, -19.77
2.68603, -19.77
2.69876, -19.77
2.71149, -19.77
2.72422, -19.98
2.7369499999999998, -19.98
2.7496799999999997, -19.98
2.76241, -19.77
2.77514, -19.77
2.78787, -19.77
2.8005999999999998, -19.77
2.81333, -19.77
2.82606, -19.77
2.83879, -19.98
2.85152, -19.98
2.86425, -19.98
2.87698, -19.98
2.88971, -19.98
2.90244, -19.77
2.9151700000000003, -19.98
2.9279, -19.98
2.94063, -19.77
2.95336, -19.77
2.9660900000000003, -19.77
2.9788200000000002, -19.98
2.99155, -19.77
3.00428, -19.77
3.0170100000000004, -19.77
3.02974, -19.77
3.04247, -19.77
3.0551999999999997, -19.77
3.06793, -19.98
3.08066, -19.77
3.09339, -19.77
3.1061199999999998, -19.98
3.11885, -19.98
3.13158, -19.77
3.14431, -19.77
3.15704, -19.98
3.16977, -19.98
3.1825, -19.98
3.19523, -19.98
3.20796, -19.98
3.2206900000000003, -19.98
3.23342, -19.77
3.24615, -19.98
3.25888, -19.77
3.27161, -19.77
3.2843400000000003, -19.98
3.29707, -19.98
3.3098, -19.98
3.32253, -19.77
3.3352600000000003, -19.98
3.34799, -19.77
3.3607199999999997, -19.98
3.3734499999999996, -19.77
3.38618, -19.98
3.39891, -19.77
3.41164, -19.98
3.4243699999999997, -19.98
3.4371, -19.98
3.44983, -19.98
3.46256, -19.77
3.4752899999999998, -19.98
3.48802, -19.98
3.50075, -19.98
3.51348, -19.77
3.52621, -19.77
3.53894, -19.98
3.55167, -19.98
3.5644, -19.98
3.57713, -19.98
3.5898600000000003, -19.98
3.60259, -19.98
3.61532, -19.98
3.62805, -19.98
3.6407800000000003, -19.98
